Date,Open,High,Low,Close,Volume,date,polarity_company,polarity_company_max,subjectivity,polarity_market,polarity_market_max
2023-03-03,17451.25,17644.75,17427.69921875,17594.349609375,356200,2023-03-03,0.0,0.0,0.5,0.07205293706608233,-0.961840808391571
2023-03-06,17680.349609375,17799.94921875,17671.94921875,17711.44921875,362800,2023-03-06,0.0,0.0,0.5,0.08638729852605229,-0.9672601819038392
2023-03-08,17665.75,17766.5,17602.25,17754.400390625,267000,2023-03-08,-0.03992968797683716,-0.939667820930481,0.3946157544851303,0.0543731241265223,-0.9585856199264526
2023-03-09,17772.05078125,17772.349609375,17573.599609375,17589.599609375,262400,2023-03-09,0.4599538221955299,0.8707321882247925,0.42932810820639133,-0.019270111644350073,-0.964946448802948
2023-03-10,17443.80078125,17451.5,17324.349609375,17412.900390625,235900,2023-03-10,0.0,0.0,0.5,0.0031820676620986366,-0.964257836341858
2023-03-13,17421.900390625,17529.900390625,17113.44921875,17154.30078125,254900,2023-03-13,0.0,0.0,0.5,-0.001413977863189247,-0.9658905863761902
2023-03-14,17160.55078125,17224.650390625,16987.099609375,17043.30078125,290600,2023-03-14,0.8752949237823486,0.8752949237823486,0.7949050664901733,0.028783226421631385,-0.964264988899231
2023-03-15,17166.44921875,17211.349609375,16938.900390625,16972.150390625,248200,2023-03-15,0.0,0.0,0.5,0.007155093403317992,-0.9672045111656188
2023-03-16,16994.650390625,17062.44921875,16850.150390625,16985.599609375,349800,2023-03-16,0.0,0.0,0.5,-0.023542132674919083,-0.962204933166504
2023-03-17,17111.80078125,17145.80078125,16958.150390625,17100.05078125,408100,2023-03-17,0.0,0.0,0.5,0.03085874860599925,-0.9660173058509828
2023-03-20,17066.599609375,17066.599609375,16828.349609375,16988.400390625,241800,2023-03-20,0.0,0.0,0.5,0.02020863976890909,-0.958074688911438
2023-03-21,17060.400390625,17127.69921875,17016.0,17107.5,246700,2023-03-21,0.0,0.0,0.5,0.028443961239315824,-0.9649214148521424
2023-03-22,17177.44921875,17207.25,17107.849609375,17151.900390625,0,2023-03-22,0.0,0.0,0.5,0.045258528431660894,-0.9673537611961364
2023-03-23,17097.400390625,17205.400390625,17045.30078125,17076.900390625,219200,2023-03-23,0.0,0.0,0.5,0.02317176622455007,-0.9653036594390868
2023-03-24,17076.19921875,17109.44921875,16917.349609375,16945.05078125,228000,2023-03-24,0.2040699273347854,0.2040699273347854,0.8921392560005188,0.011359972054129119,-0.9662887454032898
2023-03-27,16984.30078125,17091.0,16918.55078125,16985.69921875,218400,2023-03-27,0.0,0.0,0.5,0.0018032495918262647,-0.9564034342765808
